r	b	swpd	free	buff	cache	si	so	bi	bo	in	cs	us	sy	id	wa	st	gu	CST
102	0	0	69899784	523112	141042832	0	0	0	9345	168096	267494	27	11	62	0	0	0	2025-11-13 17:21:38
19	0	0	69955484	523112	141043040	0	0	0	33536	160217	263131	30	1	69	0	0	0	2025-11-13 17:21:43
75	0	0	66325124	523120	144493856	0	0	0	18461	158566	255999	25	10	65	0	0	0	2025-11-13 17:21:48
18	0	0	66256856	523120	144494116	0	0	0	37930	177481	298596	27	1	72	0	0	0	2025-11-13 17:21:53
75	0	0	64152804	523124	146410220	0	0	0	26772	176522	280340	31	6	63	0	0	0	2025-11-13 17:21:58
75	0	0	64045856	523132	146410564	0	0	0	45700	170685	251005	57	1	41	0	0	0	2025-11-13 17:22:03
40	0	0	63854060	523132	146410836	0	0	0	28664	182415	294607	30	1	68	0	0	0	2025-11-13 17:22:08
12	0	0	63768068	523132	146411076	0	0	0	15057	119068	201968	12	1	87	0	0	0	2025-11-13 17:22:13
16	0	0	63660720	523136	146411424	0	0	0	6792	112133	184523	10	1	90	0	0	0	2025-11-13 17:22:18
43	0	0	63550788	523140	146535220	0	0	0	9408	124648	208726	13	1	86	0	0	0	2025-11-13 17:22:23
67	0	0	59309996	523148	150560444	0	0	0	29319	129984	199299	32	9	58	0	0	0	2025-11-13 17:22:28
71	0	0	58694284	523200	150560916	0	0	0	63595	166325	256516	45	2	54	0	0	0	2025-11-13 17:22:33
44	1	0	58462124	523204	150561116	0	0	0	38621	186512	306630	36	2	63	0	0	0	2025-11-13 17:22:38
15	0	0	58613984	523204	150561460	0	0	0	391	170644	282706	19	1	80	0	0	0	2025-11-13 17:22:43
8	0	0	58447064	523204	150561752	0	0	0	21241	110729	185779	9	1	90	0	0	0	2025-11-13 17:22:48
13	0	0	58404340	523212	150561976	0	0	0	3137	121349	204227	12	1	87	0	0	0	2025-11-13 17:22:53
64	0	0	57720152	523216	151262504	0	0	0	9693	149242	246847	23	3	75	0	0	0	2025-11-13 17:22:58
29	0	0	57473588	523224	151263152	0	0	0	29818	158470	255160	38	1	61	0	0	0	2025-11-13 17:23:03
35	0	0	57030136	523224	151263444	0	0	0	33293	172222	285484	41	2	58	0	0	0	2025-11-13 17:23:08
50	0	0	56740776	523232	151263732	0	0	0	55440	177308	298429	40	2	58	0	0	0	2025-11-13 17:23:13
13	0	0	56599196	523236	151264024	0	0	1	40534	134526	224541	15	1	84	0	0	0	2025-11-13 17:23:18
7	0	0	56574092	523240	151264312	0	0	0	10860	101594	170120	8	1	91	0	0	0	2025-11-13 17:23:23
16	0	0	56558616	523248	151264600	0	0	0	4617	132292	214151	12	1	87	0	0	0	2025-11-13 17:23:28
34	0	0	56371436	523284	151267880	0	0	0	13641	153368	305958	24	3	73	0	0	0	2025-11-13 17:23:33
24	0	0	56369640	523308	151268332	0	0	0	27536	187229	305583	37	2	61	0	0	0	2025-11-13 17:23:38
10	0	0	56147828	523312	151268628	0	0	0	34783	174066	295070	25	1	74	0	0	0	2025-11-13 17:23:43
9	0	0	56024392	523312	151268920	0	0	0	26116	144859	244075	14	1	84	0	0	0	2025-11-13 17:23:48
86	0	0	54815880	523316	152124284	0	0	0	14485	133578	214984	16	3	81	0	0	0	2025-11-13 17:23:53
13	0	0	55178484	523324	152138444	0	0	0	20126	141784	227116	15	1	84	0	0	0	2025-11-13 17:23:58
47	0	0	54725304	523324	152138796	0	0	0	11558	183518	300951	22	1	77	0	0	0	2025-11-13 17:24:03
19	0	0	54633156	523328	152139096	0	0	0	44424	190891	298074	37	2	61	0	0	0	2025-11-13 17:24:08
16	0	0	54585424	523336	152139416	0	0	0	29275	118744	196559	12	1	87	0	0	0	2025-11-13 17:24:13
8	0	0	54289248	523340	152140088	0	0	0	14980	190378	323511	26	1	73	0	0	0	2025-11-13 17:24:18
14	0	0	54162864	523344	152140580	0	0	0	26023	99864	167852	7	1	93	0	0	0	2025-11-13 17:24:23
7	0	0	54238136	523344	152140996	0	0	0	3613	104447	174126	8	1	91	0	0	0	2025-11-13 17:24:28
15	0	0	54256972	523348	152141412	0	0	0	3254	119991	201127	11	1	88	0	0	0	2025-11-13 17:24:33
69	0	0	52943420	523376	153225148	0	0	0	16649	164553	270584	27	3	69	0	0	0	2025-11-13 17:24:38
31	0	0	52649444	523384	153226424	0	0	0	47006	169413	291874	34	1	64	0	0	0	2025-11-13 17:24:43
19	0	0	52621444	523388	153227012	0	0	0	16745	129111	209610	13	1	86	0	0	0	2025-11-13 17:24:48
44	0	0	52375232	523388	153228376	0	0	0	24736	199193	325867	23	1	76	0	0	0	2025-11-13 17:24:53
16	0	0	52222944	523396	153230704	0	0	0	35007	201631	335779	25	1	73	0	0	0	2025-11-13 17:24:58
10	0	0	52159372	523400	153231184	0	0	0	11876	111475	185267	10	1	89	0	0	0	2025-11-13 17:25:03
19	0	0	52229664	523408	153231576	0	0	0	3133	107704	179784	10	1	89	0	0	0	2025-11-13 17:25:08
17	0	0	52083296	523412	153232224	0	0	0	8761	126563	213857	13	1	86	0	0	0	2025-11-13 17:25:13
22	0	0	51760016	523412	153232768	0	0	0	13118	151805	246126	17	1	82	0	0	0	2025-11-13 17:25:18
23	0	0	51959024	523420	153233564	0	0	0	19917	148006	246247	17	1	81	0	0	0	2025-11-13 17:25:23
46	0	0	51846844	523424	153234688	0	0	0	34380	187252	325683	22	1	77	0	0	0	2025-11-13 17:25:28
26	0	0	51755572	523432	153236660	0	0	0	43102	191056	324004	36	2	62	0	0	0	2025-11-13 17:25:33
47	0	0	51575684	523472	153238364	0	0	0	18683	163009	269477	18	1	81	0	0	0	2025-11-13 17:25:38
28	0	0	51430788	523480	153239584	0	0	0	37843	175136	282731	28	1	71	0	0	0	2025-11-13 17:25:43
56	0	0	51249736	523484	153241416	0	0	0	45119	192687	318177	38	2	60	0	0	0	2025-11-13 17:25:48
37	0	0	51096276	523488	153243344	0	0	0	37059	179728	295179	35	1	64	0	0	0	2025-11-13 17:25:53
16	0	0	50908548	523492	153244176	0	0	0	14369	144405	233493	13	1	86	0	0	0	2025-11-13 17:25:58
15	0	0	50978720	523500	153245784	0	0	0	16184	120734	199259	11	1	88	0	0	0	2025-11-13 17:26:03
22	0	0	50663960	523504	153246824	0	0	0	24369	181077	303408	23	1	76	0	0	0	2025-11-13 17:26:08
20	0	0	50861604	523512	153247552	0	0	0	10718	113018	189991	10	1	89	0	0	0	2025-11-13 17:26:13
18	0	0	50657112	523516	153248168	0	0	0	13	152951	256454	17	1	82	0	0	0	2025-11-13 17:26:18
11	0	0	50680440	523520	153249112	0	0	0	16733	126111	212545	13	1	86	0	0	0	2025-11-13 17:26:23
18	0	0	50468568	523520	153252488	0	0	0	12829	127675	263662	17	3	80	0	0	0	2025-11-13 17:26:28
31	0	0	50429932	523524	153252976	0	0	0	4920	128997	215857	14	1	85	0	0	0	2025-11-13 17:26:33
12	0	0	50244128	523572	153254708	0	0	0	13832	162819	292286	14	1	85	0	0	0	2025-11-13 17:26:38
6	0	0	50276944	523572	153254688	0	0	0	15710	111057	190044	8	1	91	0	0	0	2025-11-13 17:26:43
9	0	0	50217936	523572	153255084	0	0	0	2885	106966	179878	9	1	90	0	0	0	2025-11-13 17:26:48
20	0	0	50307872	523572	153255472	0	0	0	6241	105780	175985	10	1	90	0	0	0	2025-11-13 17:26:53
11	0	0	50049660	523580	153255916	0	0	0	5941	141525	227433	16	1	83	0	0	0	2025-11-13 17:26:58
13	0	0	50187512	523584	153257456	0	0	0	23178	126171	210309	13	1	86	0	0	0	2025-11-13 17:27:03
31	0	0	49934432	523588	153258032	0	0	0	14912	154496	259773	17	1	82	0	0	0	2025-11-13 17:27:08
100	0	0	49801520	523588	153259388	0	0	0	15285	179447	311647	33	1	66	0	0	0	2025-11-13 17:27:13
27	0	0	49671148	523592	153261700	0	0	0	58337	171462	284315	38	1	60	0	0	0	2025-11-13 17:27:18
62	0	0	49486068	523600	153263588	0	0	0	33908	179473	298393	38	1	61	0	0	0	2025-11-13 17:27:23
62	0	0	49240208	523604	153266020	0	0	0	54834	172177	266991	42	2	56	0	0	0	2025-11-13 17:27:28
27	0	0	49075168	523604	153267424	0	0	0	50289	173184	297654	28	1	70	0	0	0	2025-11-13 17:27:33
15	0	0	48783760	523648	153269184	0	0	0	18181	151104	251745	17	1	82	0	0	0	2025-11-13 17:27:38
9	0	0	48817336	523652	153270600	0	0	0	26586	170879	288718	30	1	68	0	0	0	2025-11-13 17:27:43
16	0	0	48795028	523652	153271004	0	0	0	28518	109169	182721	10	1	89	0	0	0	2025-11-13 17:27:48
6	0	0	48762016	523656	153271528	0	0	0	4237	111282	186417	10	1	89	0	0	0	2025-11-13 17:27:53
26	0	0	48489060	523664	153272116	0	0	0	6883	134085	196215	32	1	67	0	0	0	2025-11-13 17:27:58
6	0	0	48592176	523664	153273456	0	0	0	23376	114079	192484	10	1	89	0	0	0	2025-11-13 17:28:03
15	0	0	48618752	523668	153273908	0	0	0	3305	106808	178954	9	1	90	0	0	0	2025-11-13 17:28:08
17	0	0	48465624	523668	153274440	0	0	0	3287	135251	228756	14	1	85	0	0	0	2025-11-13 17:28:13
12	0	0	48382936	523672	153274992	0	0	0	23557	123511	204596	12	1	87	0	0	0	2025-11-13 17:28:18
12	0	0	48515084	523676	153275536	0	0	0	5764	121433	200287	13	1	86	0	0	0	2025-11-13 17:28:23
19	0	0	48506916	523676	153275980	0	0	0	6349	116514	197831	10	1	89	0	0	0	2025-11-13 17:28:28
15	0	0	48366324	523680	153276448	0	0	0	14143	115815	193516	11	1	88	0	0	0	2025-11-13 17:28:33
66	0	0	48200360	523748	153277872	0	0	0	6292	151356	259586	15	1	84	0	0	0	2025-11-13 17:28:38
12	0	0	48292076	523756	153278048	0	0	0	19504	115733	197973	9	1	90	0	0	0	2025-11-13 17:28:43
21	0	0	48516140	523756	153278320	0	0	0	2452	101266	168879	8	1	91	0	0	0	2025-11-13 17:28:48
35	0	0	48301512	523764	153278904	0	0	0	6532	169495	308335	16	1	83	0	0	0	2025-11-13 17:28:53
35	0	0	47393180	523768	154104760	0	0	0	42458	169282	286322	24	3	73	0	0	0	2025-11-13 17:28:58
37	0	0	47256336	523768	154106656	0	0	0	35624	197012	334579	27	1	71	0	0	0	2025-11-13 17:29:03
45	0	0	47166392	523772	154108756	0	0	0	51486	189120	314513	37	2	61	0	0	0	2025-11-13 17:29:08
8	0	0	47164132	523776	154109484	0	0	0	20132	113889	187932	10	1	89	0	0	0	2025-11-13 17:29:13
21	0	0	47252372	523780	154109884	0	0	0	2589	106140	178031	9	1	90	0	0	0	2025-11-13 17:29:18
43	0	0	47122152	523784	154114136	0	0	0	34275	184852	352777	41	3	56	0	0	0	2025-11-13 17:29:23
51	0	0	46938368	523788	154116300	0	0	0	48885	187205	309548	39	2	59	0	0	0	2025-11-13 17:29:28
54	0	0	46803556	523796	154118480	0	0	0	45553	177333	304185	40	2	59	0	0	0	2025-11-13 17:29:33
26	0	0	46734956	523860	154120612	0	0	0	20491	144465	243717	16	1	82	0	0	0	2025-11-13 17:29:38
23	0	0	46663484	523864	154120772	0	0	0	11339	136416	230053	16	1	83	0	0	0	2025-11-13 17:29:43
8	0	0	46598884	523868	154121260	0	0	0	11885	165243	303120	14	1	85	0	0	0	2025-11-13 17:29:48
7	0	0	46611652	523876	154121656	0	0	0	354	106911	186641	8	1	91	0	0	0	2025-11-13 17:29:53
15	0	0	46470004	523880	154122068	0	0	0	5748	107923	186030	9	1	91	0	0	0	2025-11-13 17:29:58
10	0	0	46401820	523888	154123828	0	0	0	2771	112853	193460	10	1	89	0	0	0	2025-11-13 17:30:03
18	0	0	46440556	523888	154124172	0	0	0	5348	108965	184075	10	1	89	0	0	0	2025-11-13 17:30:08
20	0	0	46590568	523896	154124612	0	0	0	15468	147799	260862	14	1	85	0	0	0	2025-11-13 17:30:13
8	0	0	46504700	523900	154125756	0	0	0	12175	177490	313643	28	1	71	0	0	0	2025-11-13 17:30:18
16	0	0	46501792	523904	154126320	0	0	0	44035	111801	187579	10	1	89	0	0	0	2025-11-13 17:30:23
47	0	0	46375668	523908	154127636	0	0	0	2840	158019	264565	30	1	68	0	0	0	2025-11-13 17:30:28
12	0	0	46294176	523912	154128692	0	0	0	44952	177815	318997	23	1	76	0	0	0	2025-11-13 17:30:33
13	0	0	46262388	523952	154130184	0	0	0	20452	113120	188599	9	1	90	0	0	0	2025-11-13 17:30:38
20	0	0	46269628	523956	154130356	0	0	0	11896	126810	210938	12	1	87	0	0	0	2025-11-13 17:30:43
6	0	0	46223344	523960	154131752	0	0	0	25114	159719	266237	32	1	66	0	0	0	2025-11-13 17:30:48
0	0	0	46260412	523968	154132348	0	0	0	36149	40876	73588	3	0	97	0	0	0	2025-11-13 17:30:53
0	0	0	46255560	523968	154132704	0	0	0	629	24454	43065	0	0	100	0	0	0	2025-11-13 17:30:58
0	0	0	46246288	523972	154133000	0	0	0	722	22205	41693	0	0	100	0	0	0	2025-11-13 17:31:03
0	0	0	46215456	523972	154134124	0	0	0	712	22803	41319	0	0	100	0	0	0	2025-11-13 17:31:08
1	0	0	46239916	523972	154134404	0	0	0	294	22326	41050	0	0	100	0	0	0	2025-11-13 17:31:13
0	0	0	46241556	523976	154134708	0	0	0	231	22319	41584	0	0	99	0	0	0	2025-11-13 17:31:18
0	0	0	46241716	523980	154134992	0	0	0	663	22154	40733	0	0	99	0	0	0	2025-11-13 17:31:23
1	0	0	46253696	523984	154135296	0	0	0	1380	23203	43267	0	0	99	0	0	0	2025-11-13 17:31:28
2	0	0	46253292	523988	154135680	0	0	0	230	21064	39660	0	0	100	0	0	0	2025-11-13 17:31:33
0	0	0	46136108	524036	154136808	0	0	0	1179	25935	46304	0	0	99	0	0	0	2025-11-13 17:31:38
1	0	0	58761336	524036	145501492	0	0	0	7999	28865	48306	0	1	99	0	0	0	2025-11-13 17:31:43
0	0	0	79782004	524040	124489564	0	0	0	581	21741	40308	0	1	99	0	0	0	2025-11-13 17:31:48
2	0	0	79783776	524044	124489908	0	0	0	641	21500	40472	0	0	100	0	0	0	2025-11-13 17:31:53
1	0	0	79788304	524044	124490164	0	0	0	659	23825	41766	0	0	100	0	0	0	2025-11-13 17:31:58
1	0	0	79781204	524048	124490328	0	0	0	168	22635	42118	0	0	100	0	0	0	2025-11-13 17:32:03
1	0	0	79803580	524048	124493080	0	0	0	261	29563	79301	1	1	98	0	0	0	2025-11-13 17:32:08
0	0	0	79803424	524052	124494536	0	0	0	659	31307	75982	6	1	93	0	0	0	2025-11-13 17:32:13
1	0	0	79815092	524052	124494792	0	0	0	261	22275	41144	0	0	99	0	0	0	2025-11-13 17:32:18
0	0	0	79814808	524060	124495076	0	0	0	659	22538	41490	0	0	99	0	0	0	2025-11-13 17:32:23
0	0	0	79820400	524064	124495328	0	0	0	603	22769	42000	0	0	99	0	0	0	2025-11-13 17:32:28
1	0	0	79825676	524072	124495624	0	0	0	204	22234	41215	0	0	100	0	0	0	2025-11-13 17:32:33
0	0	0	79689712	524128	124495828	0	0	0	1142	24771	44051	0	0	99	0	0	0	2025-11-13 17:32:38
0	0	0	79800588	524132	124496092	0	0	0	630	23102	42231	0	0	100	0	0	0	2025-11-13 17:32:43
0	0	0	79798732	524136	124496388	0	0	0	578	22290	41501	0	0	100	0	0	0	2025-11-13 17:32:48
0	0	0	79795892	524136	124496660	0	0	0	753	22416	41713	0	0	100	0	0	0	2025-11-13 17:32:53
0	0	0	79813952	524144	124496968	0	0	0	264	23185	40976	0	0	100	0	0	0	2025-11-13 17:32:58
0	0	0	79820384	524148	124497264	0	0	0	661	22164	41213	0	0	100	0	0	0	2025-11-13 17:33:03
1	0	0	79825580	524152	124498300	0	0	0	256	22367	40580	0	0	99	0	0	0	2025-11-13 17:33:08
0	0	0	79821756	524156	124498596	0	0	0	752	23156	42641	0	0	99	0	0	0	2025-11-13 17:33:13
0	0	0	79821568	524160	124498884	0	0	0	2331	24024	43788	0	0	100	0	0	0	2025-11-13 17:33:18
1	1	0	79818084	524160	124499168	0	0	0	902	22628	41766	0	0	100	0	0	0	2025-11-13 17:33:23
2	0	0	79835236	524168	124499472	0	0	0	5	21781	40646	0	0	100	0	0	0	2025-11-13 17:33:28
1	0	0	79838064	524176	124499708	0	0	0	726	21733	41022	0	0	100	0	0	0	2025-11-13 17:33:33
1	0	0	79671404	524236	124500280	0	0	0	1784	24314	43472	0	0	99	0	0	0	2025-11-13 17:33:38
0	0	0	79794488	524236	124500384	0	0	0	704	23028	42724	0	0	100	0	0	0	2025-11-13 17:33:43
0	0	0	79806016	524240	124500736	0	0	0	308	21722	40570	0	0	100	0	0	0	2025-11-13 17:33:48
1	0	0	79810064	524244	124501016	0	0	0	616	22112	41383	0	0	100	0	0	0	2025-11-13 17:33:53
0	0	0	79805148	524244	124501308	0	0	0	241	24644	42522	0	0	99	0	0	0	2025-11-13 17:33:58
1	0	0	79802084	524248	124501704	0	0	0	720	22022	41134	0	0	100	0	0	0	2025-11-13 17:34:03
0	0	0	79793576	524256	124502732	0	0	0	688	24450	44002	0	0	99	0	0	0	2025-11-13 17:34:08
2	0	0	79796628	524264	124503020	0	0	0	511	23243	42897	0	0	99	0	0	0	2025-11-13 17:34:13
1	0	0	79813676	524264	124503256	0	0	0	248	22707	41298	0	0	99	0	0	0	2025-11-13 17:34:18
0	0	0	79818576	524268	124503604	0	0	0	232	22074	40769	0	0	99	0	0	0	2025-11-13 17:34:23
0	0	0	79809448	524272	124503844	0	0	0	584	22284	41402	0	0	99	0	0	0	2025-11-13 17:34:28
1	0	0	79813268	524276	124504128	0	0	0	278	21802	40996	0	0	100	0	0	0	2025-11-13 17:34:33
0	0	0	79699552	524308	124504416	0	0	0	1203	23773	42937	0	0	99	0	0	0	2025-11-13 17:34:38
0	0	0	79778144	524320	124504708	0	0	0	882	22203	40674	0	0	100	0	0	0	2025-11-13 17:34:43
0	0	0	79781596	524320	124504952	0	0	0	593	22458	42168	0	0	100	0	0	0	2025-11-13 17:34:48
4	0	0	79774912	524324	124505236	0	0	0	579	23941	44895	0	0	100	0	0	0	2025-11-13 17:34:53
1	0	0	79786416	524328	124505524	0	0	0	662	25362	44873	0	0	100	0	0	0	2025-11-13 17:34:58
1	0	0	79778324	524328	124505760	0	0	0	565	22094	41177	0	0	100	0	0	0	2025-11-13 17:35:03
66	0	0	79801752	524332	124509380	0	0	0	633	30833	84763	4	1	95	0	0	0	2025-11-13 17:35:08
0	0	0	79804880	524336	124510052	0	0	0	313	26976	65154	3	1	96	0	0	0	2025-11-13 17:35:13
3	0	0	86156080	524344	126561212	0	0	4	497	34145	61934	2	1	98	0	0	0	2025-11-13 17:35:18
0	0	0	86093216	524352	126561544	0	0	0	731	37069	67644	3	0	97	0	0	0	2025-11-13 17:35:23
1	0	0	86249000	524356	126561832	0	0	0	564	21472	40247	0	0	100	0	0	0	2025-11-13 17:35:28
2	0	0	85951596	524356	126562052	0	0	0	257	29260	54463	1	0	98	0	0	0	2025-11-13 17:35:33
1	0	0	85696612	524364	126569356	0	0	0	925	50758	71243	6	1	93	0	0	0	2025-11-13 17:35:38
1	0	0	85746644	524400	126563268	0	0	0	1219	32795	57570	1	1	98	0	0	0	2025-11-13 17:35:43
2	0	0	85875928	524404	126563636	0	0	0	253	30179	55965	1	0	99	0	0	0	2025-11-13 17:35:48
11	0	0	85815168	524408	126570096	0	0	0	665	30052	55982	1	0	99	0	0	0	2025-11-13 17:35:53
1	0	0	85857084	524416	126563208	0	0	0	540	31916	56335	1	0	99	0	0	0	2025-11-13 17:35:58
5	0	0	84238432	524420	127484440	0	0	0	687	54515	96322	6	1	93	0	0	0	2025-11-13 17:36:03
2	0	0	84129856	524424	128007408	0	0	0	777	28317	46898	5	1	94	0	0	0	2025-11-13 17:36:08
0	0	0	84179752	524424	128007912	0	0	0	796	22503	41868	0	0	99	0	0	0	2025-11-13 17:36:13
0	0	0	84173356	524424	128008200	0	0	0	216	22352	42114	0	0	99	0	0	0	2025-11-13 17:36:18
0	0	0	84198816	524432	128008472	0	0	0	677	23072	43177	0	0	100	0	0	0	2025-11-13 17:36:23
3	0	0	84188864	524440	128008796	0	0	0	196	22798	42532	0	0	100	0	0	0	2025-11-13 17:36:28
4	0	0	84206136	524448	128009056	0	0	0	1350	21998	41192	0	0	100	0	0	0	2025-11-13 17:36:33
0	0	0	84206536	524452	128009352	0	0	0	256	21185	40234	0	0	100	0	0	0	2025-11-13 17:36:38
0	0	0	84203284	524496	128009588	0	0	0	1537	25369	44544	0	0	99	0	0	0	2025-11-13 17:36:43
0	0	0	84197668	524500	128009784	0	0	0	642	21598	40767	0	0	100	0	0	0	2025-11-13 17:36:48
2	0	0	84221848	524504	128014172	0	0	0	588	22075	41813	0	0	100	0	0	0	2025-11-13 17:36:53
0	1	0	84234288	524508	128016508	0	0	0	173	24154	42432	0	0	99	0	0	0	2025-11-13 17:36:58
0	0	0	84228400	524512	128018836	0	0	0	447	22825	41971	0	0	99	0	0	0	2025-11-13 17:37:03
17	0	0	82541052	524516	129165776	0	0	0	276	39797	65348	4	1	95	0	0	0	2025-11-13 17:37:08
18	0	0	77655292	524524	133627524	0	0	0	809	135007	216910	34	7	59	0	0	0	2025-11-13 17:37:13
33	0	0	71810236	524524	139790676	0	0	0	5262	136502	221725	10	9	81	0	0	0	2025-11-13 17:37:18
84	0	0	69714524	524524	141279812	0	0	0	3822	166018	269597	39	6	56	0	0	0	2025-11-13 17:37:23
33	0	0	69736264	524528	141280100	0	0	0	33892	164839	268698	21	1	78	0	0	0	2025-11-13 17:37:28
29	0	0	64905896	524536	146018032	0	0	0	14142	140474	211985	28	16	56	0	0	0	2025-11-13 17:37:33
32	0	0	64931664	524544	146018268	0	0	0	39865	181556	303036	22	1	77	0	0	0	2025-11-13 17:37:38
78	0	0	62616580	524588	147796228	0	0	0	16910	175548	273650	38	5	57	0	0	0	2025-11-13 17:37:43
36	0	0	62625592	524592	147796464	0	0	0	57545	152446	219898	59	1	40	0	0	0	2025-11-13 17:37:48
14	0	0	62515572	524596	147796744	0	0	0	28003	188060	313615	28	1	71	0	0	0	2025-11-13 17:37:53
5	0	0	62386492	524604	147797036	0	0	0	15804	104725	173431	8	1	91	0	0	0	2025-11-13 17:37:58
13	0	0	62365592	524604	147797320	0	0	0	5130	112752	182831	9	1	90	0	0	0	2025-11-13 17:38:03
61	0	0	62212444	524608	147797592	0	0	0	11841	153165	249629	16	1	83	0	0	0	2025-11-13 17:38:08
72	0	0	60588412	524616	149359324	0	0	0	24769	144678	274662	46	7	47	0	0	0	2025-11-13 17:38:13
60	0	0	60043916	524616	149359620	0	0	0	49117	184876	281580	46	2	52	0	0	0	2025-11-13 17:38:18
21	0	0	59681724	524620	149359924	0	0	0	52398	182617	289185	31	1	68	0	0	0	2025-11-13 17:38:23
16	0	0	59673412	524620	149360228	0	0	0	14785	149213	244105	17	1	82	0	0	0	2025-11-13 17:38:28
9	0	0	59842136	524620	149360560	0	0	0	16204	105352	176916	9	1	90	0	0	0	2025-11-13 17:38:33
12	0	0	59777576	524632	149360768	0	0	0	3068	109815	185381	10	1	89	0	0	0	2025-11-13 17:38:38
47	0	0	59640988	524676	149361196	0	0	0	13628	122688	201425	12	1	87	0	0	0	2025-11-13 17:38:43
47	0	0	57684372	524684	151264312	0	0	0	22775	146844	224736	36	6	58	0	0	0	2025-11-13 17:38:48
63	0	0	57333572	524688	151264660	0	0	0	33482	168807	279116	31	1	68	0	0	0	2025-11-13 17:38:53
65	0	0	56882812	524692	151264900	0	0	0	48113	175422	282546	45	1	54	0	0	0	2025-11-13 17:38:58
9	0	0	56661532	524692	151265228	0	0	0	45070	171529	275347	29	1	70	0	0	0	2025-11-13 17:39:03
9	0	0	56874092	524700	151265516	0	0	0	10511	113599	187647	11	1	88	0	0	0	2025-11-13 17:39:08
9	0	0	56877624	524708	151266568	0	0	0	8016	98447	163238	7	1	92	0	0	0	2025-11-13 17:39:13
17	0	0	56853580	524716	151266860	0	0	0	2264	104384	173606	9	1	90	0	0	0	2025-11-13 17:39:18
18	0	0	56659432	524724	151267152	0	0	0	13155	130480	217055	14	1	86	0	0	0	2025-11-13 17:39:23
53	0	0	56215500	524732	151267444	0	0	0	13163	183669	299226	24	1	75	0	0	0	2025-11-13 17:39:28
35	0	0	56139636	524740	151267736	0	0	0	42396	191534	320015	33	1	66	0	0	0	2025-11-13 17:39:33
22	0	0	55992468	524740	151268024	0	0	0	28357	152567	256994	19	1	80	0	0	0	2025-11-13 17:39:38
10	0	0	55843468	524792	151268528	0	0	0	16670	144201	236977	14	1	85	0	0	0	2025-11-13 17:39:43
31	0	0	55723964	524792	151268800	0	0	0	5468	129020	211469	14	1	85	0	0	0	2025-11-13 17:39:48
10	0	0	54251772	524800	153042244	0	0	0	20402	126494	204825	15	4	80	0	0	0	2025-11-13 17:39:53
35	0	0	53902392	524804	153042524	0	0	0	12835	162147	260082	19	1	80	0	0	0	2025-11-13 17:39:58
20	0	0	53632148	524812	153043216	0	0	0	24425	170820	283581	22	1	77	0	0	0	2025-11-13 17:40:03
12	0	0	53640040	524816	153043412	0	0	0	48430	157196	241574	28	1	71	0	0	0	2025-11-13 17:40:08
13	0	0	53758100	524820	153044524	0	0	0	4116	109731	180877	11	1	89	0	0	0	2025-11-13 17:40:13
11	0	0	53135892	524820	153044808	0	0	0	34973	185848	314215	25	1	74	0	0	0	2025-11-13 17:40:18
14	0	0	53199792	524824	153045104	0	0	0	4811	97460	162732	6	1	93	0	0	0	2025-11-13 17:40:23
8	0	0	53246884	524832	153045384	0	0	0	3635	99937	165640	8	1	92	0	0	0	2025-11-13 17:40:28
19	1	0	53383212	524836	153045688	0	0	0	3188	97251	162654	7	1	92	0	0	0	2025-11-13 17:40:33
18	0	0	53346276	524836	153045920	0	0	0	351	120243	199210	13	1	87	0	0	0	2025-11-13 17:40:38
53	0	0	51947720	524896	154252560	0	0	0	8929	160333	262348	33	3	64	0	0	0	2025-11-13 17:40:43
13	0	0	51762904	524900	154253700	0	0	0	45164	152834	262656	28	1	71	0	0	0	2025-11-13 17:40:48
38	0	0	51662140	524904	154254120	0	0	0	23755	125441	207626	13	1	86	0	0	0	2025-11-13 17:40:53
26	0	0	51471724	524904	154255196	0	0	0	6754	163442	268997	18	1	80	0	0	0	2025-11-13 17:40:58
25	0	0	51303004	524904	154256472	0	0	0	26651	186964	308641	24	1	75	0	0	0	2025-11-13 17:41:03
8	0	0	51366568	524904	154257252	0	0	0	31786	132044	215613	14	1	85	0	0	0	2025-11-13 17:41:08
7	0	0	51431656	524904	154258388	0	0	0	7952	104211	173253	9	1	90	0	0	0	2025-11-13 17:41:13
15	0	0	51317068	524908	154261640	0	0	0	6789	116432	245944	16	3	81	0	0	0	2025-11-13 17:41:18
11	0	0	51196724	524916	154262216	0	0	0	3159	120976	203570	13	1	86	0	0	0	2025-11-13 17:41:23
18	0	0	50847464	524920	154262816	0	0	0	9180	144462	234463	16	1	83	0	0	0	2025-11-13 17:41:28
36	0	0	50956056	524924	154263512	0	0	0	21371	121309	200636	13	1	86	0	0	0	2025-11-13 17:41:33
24	0	0	50995648	524924	154264512	0	0	0	16675	172415	286453	21	1	78	0	0	0	2025-11-13 17:41:38
20	0	0	50690224	524980	154267292	0	0	0	29305	182792	313315	35	1	63	0	0	0	2025-11-13 17:41:43
16	0	0	50677668	524984	154267916	0	0	0	46792	144705	241088	16	1	83	0	0	0	2025-11-13 17:41:48
28	0	0	50521392	524988	154268636	0	0	0	5983	155182	261557	19	1	80	0	0	0	2025-11-13 17:41:53
49	0	0	50310032	524996	154269928	0	0	0	44418	156289	259751	25	1	73	0	0	0	2025-11-13 17:41:58
