filename	java	args	replicate	date	time
benchmark_graalvm-java_89th_user_jvm_args.txt_run1_20251114_101914	graalvm-java	89th_user_jvm_args	1	20251114	101914
benchmark_graalvm-java_89th_user_jvm_args.txt_run2_20251114_105451	graalvm-java	89th_user_jvm_args	2	20251114	105451
benchmark_graalvm-java_89th_user_jvm_args.txt_run3_20251114_113041	graalvm-java	89th_user_jvm_args	3	20251114	113041
benchmark_graalvm-java_89th_user_jvm_args.txt_run4_20251114_120638	graalvm-java	89th_user_jvm_args	4	20251114	120638
benchmark_graalvm-java_aikar_user_jvm_args.txt_run1_20251114_182731	graalvm-java	aikar_user_jvm_args	1	20251114	182731
benchmark_graalvm-java_aikar_user_jvm_args.txt_run2_20251114_191313	graalvm-java	aikar_user_jvm_args	2	20251114	191313
benchmark_graalvm-java_aikar_user_jvm_args.txt_run3_20251114_195229	graalvm-java	aikar_user_jvm_args	3	20251114	195229
benchmark_graalvm-java_aikar_user_jvm_args.txt_run4_20251114_203903	graalvm-java	aikar_user_jvm_args	4	20251114	203903
benchmark_graalvm-java_atm_user_jvm_args.txt_run1_20251114_152339	graalvm-java	atm_user_jvm_args	1	20251114	152339
benchmark_graalvm-java_atm_user_jvm_args.txt_run2_20251114_160917	graalvm-java	atm_user_jvm_args	2	20251114	160917
benchmark_graalvm-java_atm_user_jvm_args.txt_run3_20251114_165532	graalvm-java	atm_user_jvm_args	3	20251114	165532
benchmark_graalvm-java_atm_user_jvm_args.txt_run4_20251114_174149	graalvm-java	atm_user_jvm_args	4	20251114	174149
benchmark_graalvm-java_none_user_jvm_args.txt_run1_20251115_001205	graalvm-java	none_user_jvm_args	1	20251115	001205
benchmark_graalvm-java_none_user_jvm_args.txt_run2_20251115_013141	graalvm-java	none_user_jvm_args	2	20251115	013141
benchmark_graalvm-java_none_user_jvm_args.txt_run3_20251115_024852	graalvm-java	none_user_jvm_args	3	20251115	024852
benchmark_graalvm-java_none_user_jvm_args.txt_run4_20251115_040851	graalvm-java	none_user_jvm_args	4	20251115	040851
benchmark_graalvm-java_small_user_jvm_args.txt_run1_20251114_124234	graalvm-java	small_user_jvm_args	1	20251114	124234
benchmark_graalvm-java_small_user_jvm_args.txt_run2_20251114_132256	graalvm-java	small_user_jvm_args	2	20251114	132256
benchmark_graalvm-java_small_user_jvm_args.txt_run3_20251114_140303	graalvm-java	small_user_jvm_args	3	20251114	140303
benchmark_graalvm-java_small_user_jvm_args.txt_run4_20251114_144328	graalvm-java	small_user_jvm_args	4	20251114	144328
benchmark_graalvm-java_velocity_user_jvm_args.txt_run1_20251114_211836	graalvm-java	velocity_user_jvm_args	1	20251114	211836
benchmark_graalvm-java_velocity_user_jvm_args.txt_run2_20251114_220535	graalvm-java	velocity_user_jvm_args	2	20251114	220535
benchmark_graalvm-java_velocity_user_jvm_args.txt_run3_20251114_224517	graalvm-java	velocity_user_jvm_args	3	20251114	224517
benchmark_graalvm-java_velocity_user_jvm_args.txt_run4_20251114_233113	graalvm-java	velocity_user_jvm_args	4	20251114	233113
benchmark_jetbrains-java_89th_user_jvm_args.txt_run1_20251116_020733	jetbrains-java	89th_user_jvm_args	1	20251116	020733
benchmark_jetbrains-java_89th_user_jvm_args.txt_run2_20251116_025818	jetbrains-java	89th_user_jvm_args	2	20251116	025818
benchmark_jetbrains-java_89th_user_jvm_args.txt_run3_20251116_033609	jetbrains-java	89th_user_jvm_args	3	20251116	033609
