timestamp,timerfc,device,GPU use (),GPU Memory Allocated (VRAM),GPU Memory Read/Write Activity (),Memory Activity,Avg. Memory Bandwidth
1763074495,2025-11-13 16:54:55-06:00,card0,0,0,0,N/A,0
1763074496,2025-11-13 16:54:56-06:00,card0,0,0,0,N/A,0
1763074497,2025-11-13 16:54:57-06:00,card0,0,0,0,N/A,0
1763074498,2025-11-13 16:54:58-06:00,card0,0,0,0,N/A,0
1763074499,2025-11-13 16:54:59-06:00,card0,0,0,0,N/A,0
1763074500,2025-11-13 16:55:00-06:00,card0,0,0,0,N/A,0
1763074501,2025-11-13 16:55:01-06:00,card0,0,0,0,N/A,0
1763074502,2025-11-13 16:55:02-06:00,card0,0,0,0,N/A,0
1763074503,2025-11-13 16:55:03-06:00,card0,0,0,0,N/A,0
1763074505,2025-11-13 16:55:05-06:00,card0,0,0,0,N/A,0
1763074506,2025-11-13 16:55:06-06:00,card0,0,0,0,N/A,0
1763074507,2025-11-13 16:55:07-06:00,card0,0,0,0,N/A,0
1763074508,2025-11-13 16:55:08-06:00,card0,1,0,0,N/A,0
1763074509,2025-11-13 16:55:09-06:00,card0,0,0,0,N/A,0
1763074510,2025-11-13 16:55:10-06:00,card0,0,0,0,N/A,0
1763074511,2025-11-13 16:55:11-06:00,card0,0,0,0,N/A,0
1763074512,2025-11-13 16:55:12-06:00,card0,0,0,0,N/A,0
1763074513,2025-11-13 16:55:13-06:00,card0,0,0,0,N/A,0
1763074514,2025-11-13 16:55:14-06:00,card0,0,0,0,N/A,0
1763074516,2025-11-13 16:55:16-06:00,card0,0,0,0,N/A,0
1763074517,2025-11-13 16:55:17-06:00,card0,0,0,0,N/A,0
1763074518,2025-11-13 16:55:18-06:00,card0,0,0,0,N/A,0
1763074519,2025-11-13 16:55:19-06:00,card0,0,0,0,N/A,0
1763074520,2025-11-13 16:55:20-06:00,card0,0,0,0,N/A,0
1763074521,2025-11-13 16:55:21-06:00,card0,0,0,0,N/A,0
