timestamp,timerfc,device,GPU use (),GPU Memory Allocated (VRAM),GPU Memory Read/Write Activity (),Memory Activity,Avg. Memory Bandwidth
1763071018,,card0,0,0,0,N/A,0
1763071019,,card0,0,0,0,N/A,0
1763071020,,card0,0,0,0,N/A,0
1763071022,,card0,0,0,0,N/A,0
1763071023,,card0,0,0,0,N/A,0
1763071024,,card0,0,0,0,N/A,0
1763071025,,card0,1,0,0,N/A,0
1763071026,,card0,0,0,0,N/A,0
1763071027,,card0,0,0,0,N/A,0
1763071028,,card0,0,0,0,N/A,0
1763071029,,card0,0,0,0,N/A,0
1763071030,,card0,0,0,0,N/A,0
1763071031,,card0,0,0,0,N/A,0
1763071033,,card0,0,0,0,N/A,0
1763071034,,card0,0,0,0,N/A,0
1763071035,,card0,0,0,0,N/A,0
1763071036,,card0,0,0,0,N/A,0
1763071037,,card0,0,0,0,N/A,0
1763071038,,card0,0,0,0,N/A,0
1763071039,,card0,0,0,0,N/A,0
1763071040,,card0,0,0,0,N/A,0
1763071041,,card0,0,0,0,N/A,0
1763071042,,card0,0,0,0,N/A,0
1763071044,,card0,0,0,0,N/A,0
1763071045,,card0,0,0,0,N/A,0
1763071046,,card0,0,0,0,N/A,0
1763071047,,card0,0,0,0,N/A,0
1763071048,,card0,0,0,0,N/A,0
1763071049,,card0,0,0,0,N/A,0
1763071050,,card0,0,0,0,N/A,0
1763071051,,card0,0,0,0,N/A,0
1763071052,,card0,0,0,0,N/A,0
1763071054,,card0,0,0,0,N/A,0
1763071055,,card0,0,0,0,N/A,0
1763071056,,card0,0,0,0,N/A,0
1763071057,,card0,0,0,0,N/A,0
1763071058,,card0,0,0,0,N/A,0
1763071059,,card0,0,0,0,N/A,0
1763071060,,card0,0,0,0,N/A,0
1763071061,,card0,0,0,0,N/A,0
1763071062,,card0,0,0,0,N/A,0
1763071063,,card0,0,0,0,N/A,0
1763071065,,card0,0,0,0,N/A,0
1763071066,,card0,0,0,0,N/A,0
1763071067,,card0,0,0,0,N/A,0
1763071068,,card0,0,0,0,N/A,0
1763071069,,card0,0,0,0,N/A,0
1763071070,,card0,0,0,0,N/A,0
1763071071,,card0,0,0,0,N/A,0
1763071072,,card0,0,0,0,N/A,0
1763071073,,card0,0,0,0,N/A,0
1763071074,,card0,0,0,0,N/A,0
1763071076,,card0,0,0,0,N/A,0
1763071077,,card0,0,0,0,N/A,0
1763071078,,card0,0,0,0,N/A,0
1763071079,,card0,0,0,0,N/A,0
1763071080,,card0,0,0,0,N/A,0
1763071081,,card0,0,0,0,N/A,0
1763071082,,card0,0,0,0,N/A,0
1763071083,,card0,0,0,0,N/A,0
1763071084,,card0,0,0,0,N/A,0
1763071085,,card0,0,0,0,N/A,0
1763071087,,card0,0,0,0,N/A,0
1763071088,,card0,0,0,0,N/A,0
1763071089,,card0,0,0,0,N/A,0
1763071090,,card0,0,0,0,N/A,0
1763071091,,card0,0,0,0,N/A,0
1763071092,,card0,0,0,0,N/A,0
1763071093,,card0,0,0,0,N/A,0
1763071094,,card0,0,0,0,N/A,0
1763071095,,card0,0,0,0,N/A,0
1763071096,,card0,0,0,0,N/A,0
1763071098,,card0,0,0,0,N/A,0
1763071099,,card0,0,0,0,N/A,0
1763071100,,card0,0,0,0,N/A,0
1763071101,,card0,0,0,0,N/A,0
1763071102,,card0,0,0,0,N/A,0
1763071103,,card0,0,0,0,N/A,0
1763071104,,card0,0,0,0,N/A,0
1763071105,,card0,0,0,0,N/A,0
1763071106,,card0,0,0,0,N/A,0
1763071108,,card0,0,0,0,N/A,0
1763071109,,card0,0,0,0,N/A,0
1763071110,,card0,0,0,0,N/A,0
1763071111,,card0,0,0,0,N/A,0
1763071112,,card0,0,0,0,N/A,0
1763071113,,card0,0,0,0,N/A,0
1763071114,,card0,0,0,0,N/A,0
1763071115,,card0,0,0,0,N/A,0
1763071116,,card0,0,0,0,N/A,0
1763071117,,card0,0,0,0,N/A,0
1763071119,,card0,0,0,0,N/A,0
1763071120,,card0,0,0,0,N/A,0
1763071121,,card0,0,0,0,N/A,0
1763071122,,card0,0,0,0,N/A,0
1763071123,,card0,0,0,0,N/A,0
1763071124,,card0,0,0,0,N/A,0
1763071125,,card0,0,0,0,N/A,0
1763071126,,card0,0,0,0,N/A,0
1763071127,,card0,0,0,0,N/A,0
1763071128,,card0,0,0,0,N/A,0
1763071130,,card0,0,0,0,N/A,0
1763071131,,card0,0,0,0,N/A,0
1763071132,,card0,0,0,0,N/A,0
1763071133,,card0,0,0,0,N/A,0
1763071134,,card0,0,0,0,N/A,0
1763071135,,card0,0,0,0,N/A,0
1763071136,,card0,0,0,0,N/A,0
1763071137,,card0,0,0,0,N/A,0
1763071138,,card0,0,0,0,N/A,0
1763071139,,card0,0,0,0,N/A,0
1763071141,,card0,0,0,0,N/A,0
1763071142,,card0,0,0,0,N/A,0
1763071143,,card0,0,0,0,N/A,0
1763071144,,card0,0,0,0,N/A,0
1763071145,,card0,0,0,0,N/A,0
1763071146,,card0,0,0,0,N/A,0
1763071147,,card0,0,0,0,N/A,0
1763071148,,card0,0,0,0,N/A,0
1763071149,,card0,0,0,0,N/A,0
1763071150,,card0,0,0,0,N/A,0
1763071152,,card0,0,0,0,N/A,0
1763071153,,card0,0,0,0,N/A,0
1763071154,,card0,0,0,0,N/A,0
1763071155,,card0,0,0,0,N/A,0
1763071156,,card0,0,0,0,N/A,0
1763071157,,card0,0,0,0,N/A,0
1763071158,,card0,0,0,0,N/A,0
1763071159,,card0,0,0,0,N/A,0
1763071160,,card0,0,0,0,N/A,0
1763071162,,card0,0,0,0,N/A,0
1763071163,,card0,1,0,0,N/A,0
1763071164,,card0,0,0,0,N/A,0
1763071165,,card0,0,0,0,N/A,0
1763071166,,card0,0,0,0,N/A,0
1763071167,,card0,0,0,0,N/A,0
1763071168,,card0,0,0,0,N/A,0
1763071169,,card0,0,0,0,N/A,0
1763071171,,card0,0,0,0,N/A,0
1763071172,,card0,0,0,0,N/A,0
1763071173,,card0,0,0,0,N/A,0
1763071174,,card0,0,0,0,N/A,0
1763071175,,card0,0,0,0,N/A,0
1763071176,,card0,0,0,0,N/A,0
1763071177,,card0,0,0,0,N/A,0
1763071178,,card0,0,0,0,N/A,0
1763071179,,card0,0,0,0,N/A,0
1763071180,,card0,1,1,0,N/A,0
1763071182,,card0,0,1,0,N/A,0
1763071183,,card0,0,1,0,N/A,0
1763071184,,card0,0,1,0,N/A,0
1763071185,,card0,0,1,0,N/A,0
1763071186,,card0,0,1,0,N/A,0
1763071187,,card0,0,1,0,N/A,0
1763071188,,card0,0,1,0,N/A,0
1763071189,,card0,0,1,0,N/A,0
