filename	java	args	replicate	date	time
benchmark_jetbrains-java_atm_user_jvm_args.txt_run4_20251120_004413	jetbrains-java	atm_user_jvm_args	4	20251120	004413
benchmark_jetbrains-java_atm_user_jvm_args.txt_run5_20251120_010833	jetbrains-java	atm_user_jvm_args	5	20251120	010833
benchmark_jetbrains-java_none_user_jvm_args.txt_run1_20251120_052133	jetbrains-java	none_user_jvm_args	1	20251120	052133
benchmark_jetbrains-java_none_user_jvm_args.txt_run2_20251120_054409	jetbrains-java	none_user_jvm_args	2	20251120	054409
benchmark_jetbrains-java_none_user_jvm_args.txt_run3_20251120_060619	jetbrains-java	none_user_jvm_args	3	20251120	060619
benchmark_jetbrains-java_none_user_jvm_args.txt_run4_20251120_062845	jetbrains-java	none_user_jvm_args	4	20251120	062845
benchmark_jetbrains-java_none_user_jvm_args.txt_run5_20251120_065112	jetbrains-java	none_user_jvm_args	5	20251120	065112
benchmark_jetbrains-java_small_user_jvm_args.txt_run1_20251119_214300	jetbrains-java	small_user_jvm_args	1	20251119	214300
benchmark_jetbrains-java_small_user_jvm_args.txt_run2_20251119_220455	jetbrains-java	small_user_jvm_args	2	20251119	220455
benchmark_jetbrains-java_small_user_jvm_args.txt_run3_20251119_222630	jetbrains-java	small_user_jvm_args	3	20251119	222630
benchmark_jetbrains-java_small_user_jvm_args.txt_run4_20251119_224812	jetbrains-java	small_user_jvm_args	4	20251119	224812
benchmark_jetbrains-java_small_user_jvm_args.txt_run5_20251119_230957	jetbrains-java	small_user_jvm_args	5	20251119	230957
benchmark_jetbrains-java_velocity_user_jvm_args.txt_run1_20251120_032959	jetbrains-java	velocity_user_jvm_args	1	20251120	032959
benchmark_jetbrains-java_velocity_user_jvm_args.txt_run2_20251120_035224	jetbrains-java	velocity_user_jvm_args	2	20251120	035224
benchmark_jetbrains-java_velocity_user_jvm_args.txt_run3_20251120_041425	jetbrains-java	velocity_user_jvm_args	3	20251120	041425
benchmark_jetbrains-java_velocity_user_jvm_args.txt_run4_20251120_043707	jetbrains-java	velocity_user_jvm_args	4	20251120	043707
benchmark_jetbrains-java_velocity_user_jvm_args.txt_run5_20251120_045905	jetbrains-java	velocity_user_jvm_args	5	20251120	045905
benchmark_openjdk-java_89th_user_jvm_args.txt_run1_20251119_081510	openjdk-java	89th_user_jvm_args	1	20251119	081510
benchmark_openjdk-java_89th_user_jvm_args.txt_run2_20251119_083840	openjdk-java	89th_user_jvm_args	2	20251119	083840
benchmark_openjdk-java_89th_user_jvm_args.txt_run3_20251119_090158	openjdk-java	89th_user_jvm_args	3	20251119	090158
benchmark_openjdk-java_89th_user_jvm_args.txt_run4_20251119_092519	openjdk-java	89th_user_jvm_args	4	20251119	092519
benchmark_openjdk-java_89th_user_jvm_args.txt_run5_20251119_094842	openjdk-java	89th_user_jvm_args	5	20251119	094842
benchmark_openjdk-java_aikar_user_jvm_args.txt_run1_20251119_140008	openjdk-java	aikar_user_jvm_args	1	20251119	140008
benchmark_openjdk-java_aikar_user_jvm_args.txt_run2_20251119_142331	openjdk-java	aikar_user_jvm_args	2	20251119	142331
benchmark_openjdk-java_aikar_user_jvm_args.txt_run3_20251119_144647	openjdk-java	aikar_user_jvm_args	3	20251119	144647
benchmark_openjdk-java_aikar_user_jvm_args.txt_run4_20251119_151009	openjdk-java	aikar_user_jvm_args	4	20251119	151009
benchmark_openjdk-java_aikar_user_jvm_args.txt_run5_20251119_153321	openjdk-java	aikar_user_jvm_args	5	20251119	153321
benchmark_openjdk-java_atm_user_jvm_args.txt_run1_20251119_120015	openjdk-java	atm_user_jvm_args	1	20251119	120015
benchmark_openjdk-java_atm_user_jvm_args.txt_run2_20251119_122418	openjdk-java	atm_user_jvm_args	2	20251119	122418
benchmark_openjdk-java_atm_user_jvm_args.txt_run3_20251119_124825	openjdk-java	atm_user_jvm_args	3	20251119	124825
benchmark_openjdk-java_atm_user_jvm_args.txt_run4_20251119_131217	openjdk-java	atm_user_jvm_args	4	20251119	131217
benchmark_openjdk-java_atm_user_jvm_args.txt_run5_20251119_133622	openjdk-java	atm_user_jvm_args	5	20251119	133622
benchmark_openjdk-java_none_user_jvm_args.txt_run1_20251119_174943	openjdk-java	none_user_jvm_args	1	20251119	174943
benchmark_openjdk-java_none_user_jvm_args.txt_run2_20251119_181218	openjdk-java	none_user_jvm_args	2	20251119	181218
benchmark_openjdk-java_none_user_jvm_args.txt_run3_20251119_183410	openjdk-java	none_user_jvm_args	3	20251119	183410
benchmark_openjdk-java_none_user_jvm_args.txt_run4_20251119_185558	openjdk-java	none_user_jvm_args	4	20251119	185558
benchmark_openjdk-java_none_user_jvm_args.txt_run5_20251119_191742	openjdk-java	none_user_jvm_args	5	20251119	191742
benchmark_openjdk-java_small_user_jvm_args.txt_run1_20251119_101156	openjdk-java	small_user_jvm_args	1	20251119	101156
benchmark_openjdk-java_small_user_jvm_args.txt_run2_20251119_103402	openjdk-java	small_user_jvm_args	2	20251119	103402
benchmark_openjdk-java_small_user_jvm_args.txt_run3_20251119_105534	openjdk-java	small_user_jvm_args	3	20251119	105534
benchmark_openjdk-java_small_user_jvm_args.txt_run4_20251119_111659	openjdk-java	small_user_jvm_args	4	20251119	111659
benchmark_openjdk-java_small_user_jvm_args.txt_run5_20251119_113843	openjdk-java	small_user_jvm_args	5	20251119	113843
benchmark_openjdk-java_velocity_user_jvm_args.txt_run1_20251119_155644	openjdk-java	velocity_user_jvm_args	1	20251119	155644
benchmark_openjdk-java_velocity_user_jvm_args.txt_run2_20251119_161929	openjdk-java	velocity_user_jvm_args	2	20251119	161929
benchmark_openjdk-java_velocity_user_jvm_args.txt_run3_20251119_164159	openjdk-java	velocity_user_jvm_args	3	20251119	164159
benchmark_openjdk-java_velocity_user_jvm_args.txt_run4_20251119_170423	openjdk-java	velocity_user_jvm_args	4	20251119	170423
benchmark_openjdk-java_velocity_user_jvm_args.txt_run5_20251119_172701	openjdk-java	velocity_user_jvm_args	5	20251119	172701
benchmark_temurin-java_89th_user_jvm_args.txt_run1_20251120_071423	temurin-java	89th_user_jvm_args	1	20251120	071423
benchmark_temurin-java_89th_user_jvm_args.txt_run2_20251120_073727	temurin-java	89th_user_jvm_args	2	20251120	073727
benchmark_temurin-java_89th_user_jvm_args.txt_run3_20251120_080153	temurin-java	89th_user_jvm_args	3	20251120	080153
benchmark_temurin-java_89th_user_jvm_args.txt_run4_20251120_082430	temurin-java	89th_user_jvm_args	4	20251120	082430
benchmark_temurin-java_89th_user_jvm_args.txt_run5_20251120_084847	temurin-java	89th_user_jvm_args	5	20251120	084847
benchmark_temurin-java_aikar_user_jvm_args.txt_run1_20251120_125947	temurin-java	aikar_user_jvm_args	1	20251120	125947
benchmark_temurin-java_aikar_user_jvm_args.txt_run2_20251120_132409	temurin-java	aikar_user_jvm_args	2	20251120	132409
benchmark_temurin-java_aikar_user_jvm_args.txt_run3_20251120_134628	temurin-java	aikar_user_jvm_args	3	20251120	134628
benchmark_temurin-java_aikar_user_jvm_args.txt_run4_20251120_141027	temurin-java	aikar_user_jvm_args	4	20251120	141027
benchmark_temurin-java_aikar_user_jvm_args.txt_run5_20251120_143307	temurin-java	aikar_user_jvm_args	5	20251120	143307
benchmark_temurin-java_atm_user_jvm_args.txt_run1_20251120_105953	temurin-java	atm_user_jvm_args	1	20251120	105953
benchmark_temurin-java_atm_user_jvm_args.txt_run2_20251120_112402	temurin-java	atm_user_jvm_args	2	20251120	112402
benchmark_temurin-java_atm_user_jvm_args.txt_run3_20251120_114812	temurin-java	atm_user_jvm_args	3	20251120	114812
benchmark_temurin-java_atm_user_jvm_args.txt_run4_20251120_121203	temurin-java	atm_user_jvm_args	4	20251120	121203
benchmark_temurin-java_atm_user_jvm_args.txt_run5_20251120_123544	temurin-java	atm_user_jvm_args	5	20251120	123544
benchmark_temurin-java_none_user_jvm_args.txt_run1_20251120_164750	temurin-java	none_user_jvm_args	1	20251120	164750
benchmark_temurin-java_none_user_jvm_args.txt_run2_20251120_170948	temurin-java	none_user_jvm_args	2	20251120	170948
benchmark_temurin-java_none_user_jvm_args.txt_run3_20251120_173214	temurin-java	none_user_jvm_args	3	20251120	173214
benchmark_temurin-java_none_user_jvm_args.txt_run4_20251120_175357	temurin-java	none_user_jvm_args	4	20251120	175357
benchmark_temurin-java_none_user_jvm_args.txt_run5_20251120_181638	temurin-java	none_user_jvm_args	5	20251120	181638
benchmark_temurin-java_small_user_jvm_args.txt_run1_20251120_091135	temurin-java	small_user_jvm_args	1	20251120	091135
benchmark_temurin-java_small_user_jvm_args.txt_run2_20251120_093318	temurin-java	small_user_jvm_args	2	20251120	093318
benchmark_temurin-java_small_user_jvm_args.txt_run3_20251120_095457	temurin-java	small_user_jvm_args	3	20251120	095457
benchmark_temurin-java_small_user_jvm_args.txt_run4_20251120_101623	temurin-java	small_user_jvm_args	4	20251120	101623
benchmark_temurin-java_small_user_jvm_args.txt_run5_20251120_103809	temurin-java	small_user_jvm_args	5	20251120	103809
benchmark_temurin-java_velocity_user_jvm_args.txt_run1_20251120_145711	temurin-java	velocity_user_jvm_args	1	20251120	145711
benchmark_temurin-java_velocity_user_jvm_args.txt_run2_20251120_151903	temurin-java	velocity_user_jvm_args	2	20251120	151903
benchmark_temurin-java_velocity_user_jvm_args.txt_run3_20251120_154117	temurin-java	velocity_user_jvm_args	3	20251120	154117
benchmark_temurin-java_velocity_user_jvm_args.txt_run4_20251120_160258	temurin-java	velocity_user_jvm_args	4	20251120	160258
benchmark_temurin-java_velocity_user_jvm_args.txt_run5_20251120_162600	temurin-java	velocity_user_jvm_args	5	20251120	162600
